file_name,class,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
1.jpg,lying_down,584.51416,375.31666,-212.41419,597.47658,388.0814,-201.45258,596.27586,394.58908,-201.57131,595.14,401.26848,-201.68556,600.76012,372.02199,-195.22339,602.28119,365.80001,-195.16142,603.72917,359.50253,-195.0791,584.93919,410.10738,-121.07579,597.66968,353.02614,-82.77689,567.24232,385.38972,-180.56585,572.36748,361.99162,-169.774,498.9817,430.05312,-104.13351,527.82402,310.04368,-13.43307,392.48489,437.56405,-97.22714,436.59409,289.8906,27.83791,287.08017,414.93779,-110.5089,363.9201,266.79892,-28.87766,254.03011,416.09645,-113.69265,341.09962,258.35712,-37.91719,253.73665,405.33422,-140.59114,343.56411,257.84924,-70.78126,267.80359,399.11985,-119.77823,349.14848,266.816,-44.4684,295.82172,351.31496,-37.56855,315.09815,284.1023,38.06909,148.03528,339.66096,-30.30112,195.53944,263.18373,128.29701,27.47482,328.29783,86.21146,105.22957,248.59394,322.97173,14.15272,327.95039,94.00351,86.41342,256.50455,338.55167,-31.049,305.08527,-4.04179,68.46542,199.70362,260.66797
10.jpg,lying_down,563.13988,342.81512,-188.46922,574.8534,355.15537,-181.38321,574.03389,361.47108,-181.47221,573.31596,367.94063,-181.6526,577.04803,340.12281,-166.8317,578.11115,334.62728,-166.68686,579.07753,329.06404,-166.59966,564.30061,379.82268,-108.11997,573.35228,327.03678,-35.03316,547.08324,354.35131,-159.75247,550.5191,333.33578,-138.10138,485.82188,409.87535,-95.41981,504.13574,293.87321,56.77104,383.7394,429.28265,-72.93215,415.67997,270.53473,-6.86877,280.37098,435.05519,-101.05673,456.33972,271.20143,-238.90333,249.21947,444.73949,-108.67075,462.12746,275.86879,-283.70829,245.8107,432.6935,-139.34366,480.07923,275.18698,-295.11957,256.82293,422.5882,-110.58152,474.09767,279.99985,-250.54527,282.33295,345.61478,-59.44625,295.09182,279.91808,59.67953,146.08057,329.98587,-50.81841,180.71152,250.80568,177.16917,32.20518,323.4369,79.72234,98.39041,227.035,408.13862,17.12011,327.385,88.09923,79.0427,237.02994,427.26841,-16.89978,292.68931,-19.89624,67.74715,170.80314,344.71569
100.jpg,lying_down,529.48101,292.49508,-138.48584,543.03631,304.93332,-131.07608,543.12798,311.13759,-130.96204,543.27507,317.44014,-131.07343,543.00587,290.0146,-123.834,543.51898,285.0537,-124.13169,543.9328,279.98849,-124.19456,535.65086,331.642,-54.63725,538.11024,281.93316,-17.30131,515.56072,306.96364,-107.8168,516.29402,286.62432,-97.33253,477.10472,351.58596,-24.03659,474.56909,268.80504,66.74222,507.67586,408.03595,-72.08373,429.84055,228.3089,44.77062,581.7469,370.78217,-58.98194,448.69579,229.99299,-75.78413,605.57747,366.64587,-73.44804,449.20708,232.23212,-86.43956,600.90282,359.54927,-54.30151,454.82658,239.92189,-96.9981,587.4543,359.35415,-56.62535,450.39791,241.63382,-82.9719,283.28985,294.59925,-60.63363,292.09545,250.43578,60.56936,156.65851,209.28374,-143.76623,161.36089,222.02851,17.88068,103.80033,310.63342,-48.37199,53.43393,271.8338,92.38747,111.81713,329.13234,-36.98289,41.70824,288.69513,99.98281,31.34434,315.54362,-57.49571,-5.83899,244.4981,67.07215
1000.jpg,lying_down,97.84786,294.29543,-7.81763,84.89658,286.37112,-24.55413,83.80363,282.99342,-24.5471,82.6746,279.51774,-24.51306,86.506,290.54458,3.98001,86.43457,290.49437,3.9323,86.45725,290.52197,3.92259,82.97724,259.55778,-54.48994,86.32076,273.41806,78.05778,106.14046,280.39424,-16.87229,107.81527,285.83928,21.91423,132.09639,219.75831,-106.79734,148.57882,262.02001,137.8105,169.87137,284.8403,-194.1534,208.38627,307.03646,160.80999,95.66206,343.65641,-241.93268,214.41647,367.30102,89.43851,75.81686,358.76103,-265.15055,217.77676,385.65908,93.72263,68.2762,350.78602,-267.8796,210.3718,381.36435,74.88241,76.23013,346.66966,-243.43912,209.62948,372.19153,78.86537,311.70771,242.37185,-80.6099,307.11239,271.09268,80.86606,411.18996,344.64449,-110.40087,399.96731,347.31151,11.82313,550.33154,361.4607,-94.27175,545.77705,371.66096,38.23722,573.06328,351.09693,-96.03251,568.97545,362.07484,35.48593,580.30354,413.65514,-159.78793,583.66676,423.87242,-24.03757
1001.jpg,lying_down,97.13274,295.31141,-8.52427,84.61096,288.75369,-26.36092,83.57393,285.78521,-26.36847,82.50696,282.71991,-26.34671,86.00401,291.95154,1.5087,85.88655,291.55712,1.48264,85.86201,291.23869,1.52116,82.91903,263.80972,-64.57918,85.81936,274.51189,64.81493,105.49986,282.11606,-20.68539,107.05795,286.45726,17.21317,131.53854,224.09779,-119.27196,148.14178,260.74911,126.93085,168.11689,282.63734,-211.94107,209.89689,303.4269,157.76347,93.69417,342.70357,-263.21009,214.73969,364.8533,95.73736,73.76175,357.71942,-287.0141,217.15408,383.77029,102.08623,65.72722,350.87763,-289.0802,209.09245,381.17718,82.84541,73.72694,346.41626,-264.77901,208.65139,372.27736,85.40978,311.53683,245.07846,-80.24407,307.10272,270.71958,80.49919,413.32584,341.20843,-109.5297,402.94689,342.61806,18.57138,548.83453,353.1538,-94.13568,545.24342,362.13773,44.7649,570.7555,342.91978,-96.66739,567.85088,352.76708,41.81605,576.5609,403.76927,-159.30766,579.70222,412.40155,-15.58218
1002.jpg,lying_down,98.85372,295.43464,-0.71961,85.57257,287.59017,-18.49424,84.44521,284.30254,-18.48135,83.27452,280.91426,-18.43127,87.1262,291.37493,10.32098,86.95349,291.15312,10.26493,86.87914,291.01284,10.25854,82.87907,260.60237,-51.37692,85.98648,273.35449,82.95722,106.8626,281.54963,-10.69266,108.39926,286.45002,28.59891,130.361,219.2688,-103.0998,148.15588,262.42135,140.49814,167.83918,282.84476,-193.12212,209.25777,307.23078,162.69554,92.93289,342.18435,-245.56721,213.77132,367.94263,90.84368,72.55848,357.63814,-267.63905,216.20583,386.5266,94.87444,64.89529,349.62533,-271.04944,208.55682,383.3929,76.05115,73.29021,345.34046,-247.3971,208.18951,373.96474,80.18752,310.01514,243.79426,-79.95391,306.11044,272.70206,80.20226,407.57446,346.02213,-113.37231,398.5733,351.16865,12.65636,548.80524,360.78157,-96.38911,545.01884,373.93444,34.61688,571.10596,350.20763,-97.23404,568.04108,363.27453,31.87361,582.38762,411.51893,-154.87158,585.44727,427.32342,-24.01227
1003.jpg,lying_down,589.45202,356.37537,-247.03108,606.28468,366.5734,-236.91805,606.82793,373.42627,-236.94647,607.39113,380.52077,-236.97836,605.41004,348.82931,-230.2663,605.5674,342.16802,-230.22676,605.57365,335.49837,-230.5426,601.1335,392.38984,-148.93091,600.0592,331.35773,-111.36889,574.99645,371.13158,-211.58369,574.54964,346.63407,-200.67856,509.97063,425.1309,-113.64229,539.88567,310.51031,-28.47769,396.67343,462.4603,-87.37018,605.84106,315.54626,10.62891,294.62591,478.0103,-73.50101,638.34808,382.7548,119.748,267.44709,487.18323,-77.22729,646.62025,405.40913,106.75037,267.38251,475.50642,-105.01739,644.76501,404.20292,116.72291,276.83018,466.18197,-85.32252,638.14095,400.68546,118.36629,293.15586,346.48087,-43.84182,303.37357,277.626,44.15093,146.53755,336.47355,-33.73018,186.32244,255.83722,147.26416,33.53588,331.05589,122.98296,97.98229,246.60441,394.52587,17.33521,333.65078,133.99211,77.81281,259.77948,414.64764,-16.26064,306.31597,27.13765,64.36751,186.65889,330.57484
1004.jpg,lying_down,99.18591,295.12384,7.51307,86.07063,287.31131,-9.923,85.04395,283.97,-9.92566,83.97184,280.53288,-9.87641,87.27919,291.16247,19.15579,86.96196,290.97407,19.11258,86.73847,290.8582,19.10793,83.77644,260.4124,-42.92894,85.76252,273.37492,92.1128,107.40131,281.31251,-2.64925,108.56283,286.41626,36.91931,131.05375,220.11855,-100.217,147.08681,261.18276,149.57602,169.62654,287.21652,-189.81005,208.2003,307.05606,170.13712,92.45243,344.32014,-238.90989,213.02046,368.01538,94.47121,72.51273,359.00888,-261.56235,216.73321,386.41537,97.97846,65.16304,350.31115,-265.84568,208.86972,381.98233,80.11358,73.16269,346.39023,-240.81928,208.11577,372.90828,84.1098,310.99756,242.00941,-82.35567,306.92804,270.07018,82.63034,403.66325,347.18287,-123.27766,392.42657,354.70837,-3.76463,550.72365,362.73376,-113.65149,545.22911,372.15503,16.02463,574.65321,351.74666,-115.72643,569.1333,360.40432,13.28934,582.67952,416.59206,-177.87056,584.60197,425.43961,-45.97929
1005.jpg,lying_down,96.22051,294.59722,-5.72698,83.98447,286.50501,-21.74546,83.057,283.1702,-21.74398,82.085,279.7423,-21.6985,85.3566,290.61544,6.32897,85.27454,290.54947,6.29851,85.28292,290.55694,6.30632,83.38305,260.0883,-53.11184,85.93,273.67395,77.6687,105.18524,280.98724,-15.63201,106.54375,286.45961,22.69959,133.0908,221.96955,-107.244,149.33924,261.81676,135.63716,171.76004,281.92283,-199.28411,209.42461,306.09103,159.23162,93.40651,342.42425,-252.55413,214.38717,366.98238,93.52088,73.17501,358.7132,-275.36291,217.60231,385.71516,99.23735,64.92935,350.18583,-277.84781,209.59345,382.37981,81.02636,73.14499,345.25103,-254.07642,209.00066,373.53227,83.38783,312.13995,243.00679,-79.80823,308.19632,269.99848,80.07218,413.53928,340.58267,-113.60524,401.8856,343.07725,1.73077,550.18028,355.48362,-105.90184,543.91823,364.28533,30.28396,573.18451,345.16834,-108.9616,567.80994,354.15997,27.66068,578.46893,407.97277,-171.70444,577.76527,418.51965,-29.49003
1006.jpg,lying_down,96.80204,295.26775,-7.892,84.13376,286.84636,-25.21728,83.21543,283.51313,-25.22485,82.26374,280.08611,-25.21117,85.33812,290.78001,3.25238,85.1391,290.56406,3.21809,85.03546,290.43174,3.23652,82.8904,259.67154,-57.36679,84.76896,272.73645,74.52456,105.48624,281.44023,-17.63632,106.65445,286.4881,20.91846,133.06578,219.05786,-104.56191,147.28274,262.46272,133.61699,170.24193,284.28457,-183.48293,207.62154,305.89817,164.81428,93.42863,343.8121,-226.27836,213.49405,365.95791,99.64536,73.18836,359.46897,-248.45621,216.37787,384.77191,104.32591,65.26291,351.14545,-252.31554,208.97934,381.3814,85.78729,73.25005,346.65155,-228.07194,208.57668,372.3573,89.14211,311.14628,240.90079,-77.44617,305.89771,270.74235,77.71354,409.77234,339.22431,-104.59682,398.53512,345.08091,5.16952,548.84438,359.51214,-93.39373,545.6292,371.09067,22.89585,571.96724,350.32104,-96.17629,569.13532,362.62971,18.93253,577.44057,412.1279,-161.97029,582.32262,421.52318,-42.4054
